Year,race,county,Dem,rep,IAP,LPN,NPP,OTH
2020,sd1,CANDIDATES,don  Spearman,N/A,N/A,N/A,N/A,N/A
2020,sd1,Carson City,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Churchill,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Clark,"51,648",N/A,N/A,N/A,N/A,N/A
2020,sd1,Douglas,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Elko,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Esmeralda,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Eureka,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Humboldt,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Lander,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Lincoln,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Lyon,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Mineral,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Nye,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Pershing,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Storey,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,Washoe,N/A,N/A,N/A,N/A,N/A,N/A
2020,sd1,White Pine,N/A,N/A,N/A,N/A,N/A,N/A
