YEAR,RACE,COUNTY,REP,DEM,IAP,LPN,NPP,OTH
2020,SD6,,Carrie Buck,Kristee Watson,N/A,Tim Hagen,N/A,N/A
2020,SD6,Carson City,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Churchill,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Clark,"32,740","32,411",N/A,"2,007",N/A,N/A
2020,SD6,Douglas,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Elko,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Esmeralda,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Eureka,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Humboldt,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Lander,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Lincoln,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Lyon,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Mineral,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Nye,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Pershing,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Storey,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,Washoe,N/A,N/A,N/A,N/A,N/A,N/A
2020,SD6,White Pine,N/A,N/A,N/A,N/A,N/A,N/A
