PRECINCT,SENATE,ASSEMBLY,BOARDOFEDU,REGENTS,COMMISSION,RWARDS,SWARDS,SCHBDTRUST,SCHBDATLRG,GID,TOWNSHIP,MP,FPD
100000,13,24,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
100200,13,24,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
100300,15,27,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
100500,15,25,2,10,1,1,0,A,G,NONE,RENO-VERDI,YES,NONE
100600,13,24,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
100700,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
100800,13,24,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
101000,15,27,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
101100,13,24,2,10,3,1,0,D,F,NONE,RENO-VERDI,NO,NONE
101200,15,27,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
101400,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
101500,13,24,2,10,3,1,0,D,F,NONE,RENO-VERDI,NO,NONE
101600,15,27,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
101800,13,24,2,10,1,1,0,D,F,NONE,RENO-VERDI,NO,NONE
102000,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
102200,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
102300,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
102400,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
102600,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
102700,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
102900,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
103100,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
103200,15,27,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
103300,13,24,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
103500,13,24,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
103600,13,24,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
103800,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
103900,13,24,2,10,3,1,0,D,G,NONE,RENO-VERDI,NO,NONE
104000,15,25,2,10,5,1,0,E,G,VERDI TV,RENO-VERDI,NO,NONE
104300,15,27,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
104400,15,25,2,10,1,1,0,E,G,NONE,RENO-VERDI,NO,NONE
104500,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
104600,15,25,2,10,1,1,0,E,G,NONE,RENO-VERDI,NO,NONE
104700,15,25,2,10,1,1,0,D,G,NONE,RENO-VERDI,NO,NONE
105000,15,25,2,10,1,1,0,A,G,NONE,RENO-VERDI,YES,NONE
105100,15,25,2,10,5,1,0,E,G,VERDI TV,RENO-VERDI,NO,NONE
105300,15,25,2,10,5,1,0,A,G,VERDI TV,RENO-VERDI,NO,NONE
105500,15,25,2,10,1,1,0,E,G,NONE,RENO-VERDI,NO,NONE
