YEAR,RACE,COUNTY,REP,DEM,IAP,LPN,NPP,OTH
2020,SD6,,Carrie Buck,Kristee Watson,,Tim Hagen,,
2020,SD6,Carson City,,,,,,
2020,SD6,Churchill,,,,,,
2020,SD6,Clark,"32,740","32,411",,"2,007",,
2020,SD6,Douglas,,,,,,
2020,SD6,Elko,,,,,,
2020,SD6,Esmeralda,,,,,,
2020,SD6,Eureka,,,,,,
2020,SD6,Humboldt,,,,,,
2020,SD6,Lander,,,,,,
2020,SD6,Lincoln,,,,,,
2020,SD6,Lyon,,,,,,
2020,SD6,Mineral,,,,,,
2020,SD6,Nye,,,,,,
2020,SD6,Pershing,,,,,,
2020,SD6,Storey,,,,,,
2020,SD6,Washoe,,,,,,
2020,SD6,White Pine,,,,,,
