Year,Race,County,Rep,Dem,Iap,Ipn,npp,oth
2014,SD17,,Settelmeyer,,N/A,N/A,N/A,N/A
2014,SD17,Percent,100,N/A,,,,
2014,SD17,Total Votes,"35,979",N/A,,,,
2014,SD17,Carson City,N/A,N/A,,,,
2014,SD17,Churchill,"6,681",N/A,,,,
2014,SD17,Clark,N/A,N/A,,,,
2014,SD17,Douglas,"15,301",N/A,,,,
2014,SD17,Elko,N/A,N/A,,,,
2014,SD17,Esmeralda,N/A,N/A,,,,
2014,SD17,Eureka,N/A,N/A,,,,
2014,SD17,Humboldt,N/A,N/A,,,,
2014,SD17,Lander,N/A,N/A,,,,
2014,SD17,Lincoln,N/A,N/A,,,,
2014,SD17,Lyon,"12,384",N/A,,,,
2014,SD17,Mineral,N/A,N/A,,,,
2014,SD17,Nye,N/A,N/A,,,,
2014,SD17,Pershing,N/A,N/A,,,,
2014,SD17,Storey,"1,613",N/A,,,,
2014,SD17,Washoe,N/A,N/A,,,,
2014,SD17,White Pine,N/A,N/A,,,,
